date,open,close,high,low,MA5,MA10,DMI.PDI,MACD,BRAR,EMV,  KDJ.K     ,  KDJ.K     ,  KDJ.K     ,ROC,MTM,PSY,BOLL,WVAD,ATR
 2005/01/21,6.7,6.78,6.85,6.41,6.86,6.97,20.78,-0.06,84.83,-0.49,41.82,48.72,28.02,-0.88,-0.06,50,6.97,0.35,0.31
 2005/01/24,7.02,6.99,7.1,6.88,6.89,6.98,26.3,-0.03,92.23,0.09,49.13,48.86,49.67,1.75,0.12,50,6.96,0.11,0.31
 2005/01/25,6.95,6.85,6.95,6.72,6.86,6.95,21.96,-0.04,86.74,-0.37,48.87,48.86,48.88,0.15,0.01,50,6.95,-0.04,0.31
 2005/01/26,6.85,6.69,6.95,6.66,6.81,6.91,18.63,-0.06,86.1,-0.6,42.84,46.85,34.8,-2.76,-0.19,41.67,6.93,-1.04,0.3
 2005/01/27,6.69,6.5,6.7,6.46,6.76,6.84,19.13,-0.09,82.44,-0.8,32.9,42.2,14.31,-9.22,-0.66,33.33,6.9,-0.88,0.29
 2005/01/28,6.64,6.26,6.64,6.19,6.66,6.76,18.2,-0.14,70.27,-1,24.5,36.3,0.9,-11.33,-0.8,33.33,6.85,-1.51,0.31
 2005/01/31,6.01,5.87,6.13,5.84,6.43,6.66,11.21,-0.21,68.16,-1.67,17.13,29.91,-8.44,-18.92,-1.37,25,6.81,-1.72,0.31
 2005/02/01,5.88,5.82,5.99,5.8,6.23,6.54,11.19,-0.25,65.38,-1.78,11.93,23.92,-12.04,-17.68,-1.25,25,6.76,-1.89,0.31
 2005/02/02,5.9,6.25,6.28,5.84,6.14,6.47,13.91,-0.2,73.2,-1.49,19.49,22.44,13.59,-8.76,-0.6,33.33,6.73,-1.55,0.33
 2005/02/03,6.2,6.03,6.32,6.01,6.05,6.4,14.22,-0.19,70.88,-1.36,18.89,21.26,14.16,-13.86,-0.97,25,6.69,-1.73,0.33
 2005/02/04,6.08,6.26,6.28,6.05,6.05,6.35,14.57,-0.14,75.36,-1.12,25.93,22.82,32.15,-9.67,-0.67,33.33,6.66,-0.85,0.32
 2005/02/16,6.3,6.28,6.48,6.28,6.13,6.28,18.63,-0.1,78.57,-0.96,31.2,25.61,42.38,-6.69,-0.45,41.67,6.63,-0.85,0.32
 2005/02/17,6.28,6.36,6.42,6.21,6.24,6.23,17.33,-0.05,92.09,-1.14,41.54,30.92,62.78,-6.19,-0.42,41.67,6.59,-1.01,0.32
 2005/02/18,6.36,6.26,6.39,6.26,6.24,6.19,18.57,-0.03,97.24,-0.76,45.95,35.93,65.98,-10.44,-0.73,33.33,6.55,-1.02,0.3
 2005/02/21,6.3,6.36,6.38,6.25,6.3,6.18,20.05,0,94.86,-0.68,58.08,43.31,87.62,-7.15,-0.49,41.67,6.51,-1.02,0.28
 2005/02/22,6.35,6.52,6.58,6.28,6.36,6.2,18.86,0.05,91.14,-0.84,69.49,52.04,104.39,-2.54,-0.17,50,6.48,-0.91,0.28
 2005/02/23,6.52,6.7,6.94,6.42,6.44,6.28,26.46,0.1,97.44,-0.3,72.39,58.82,99.52,3.08,0.2,58.33,6.47,-1.26,0.29
 2005/02/24,6.65,6.71,6.8,6.6,6.51,6.37,27.05,0.13,98.45,-0.25,73.35,63.66,92.72,7.19,0.45,66.67,6.46,-0.92,0.29
 2005/02/25,6.69,6.68,6.83,6.66,6.59,6.42,28.28,0.14,91.77,0.09,72.49,66.61,84.27,13.8,0.81,66.67,6.45,-1.47,0.28
 2005/02/28,6.52,6.55,6.67,6.48,6.63,6.47,30.19,0.12,91.3,0.23,63.85,65.69,60.18,12.54,0.73,66.67,6.44,-0.75,0.26
 2005/03/01,6.4,6.5,6.58,6.4,6.63,6.49,32.28,0.1,82.76,0.69,55.81,62.4,42.64,4,0.25,58.33,6.42,-0.15,0.25
 2005/03/02,6.53,6.44,6.66,6.41,6.58,6.51,33.99,0.08,86.87,0.85,46.39,57.06,25.04,6.8,0.41,58.33,6.39,-0.55,0.25
 2005/03/03,6.41,6.41,6.48,6.28,6.52,6.51,27.83,0.06,92.55,0.31,38.65,50.92,14.11,2.4,0.15,50,6.37,-0.32,0.23
 2005/03/04,6.46,6.36,6.46,6.28,6.45,6.52,27.71,0.04,86.98,0.16,29.81,43.89,1.66,1.27,0.08,41.67,6.36,-0.24,0.22
 2005/03/07,6.41,6.31,6.41,6.28,6.4,6.52,28.81,0.02,86.58,0.15,21.39,36.39,-8.61,-0.79,-0.05,33.33,6.35,-0.64,0.22
 2005/03/08,6.35,6.49,6.51,6.3,6.4,6.51,25.58,0.03,103.25,-0.01,26.99,33.25,14.45,3.67,0.23,41.67,6.36,-0.29,0.21
 2005/03/09,6.5,6.49,6.56,6.4,6.41,6.49,27.7,0.03,109.21,0.13,30.72,32.41,27.34,2.04,0.13,33.33,6.39,-0.19,0.21
