date,open,close,high,low,MA5,MA10,DMI.PDI,  KDJ.K     ,  KDJ.D     ,  KDJ.J     ,MACD,BRAR,EMV,ROC,MTM,PSY,BOLL,WVAD,ATR
 2006/01/13,28.58,28.17,28.59,28,28.68,28.75,23.09,53.84,60.4,40.72,-0.18,108.13,-0.3,-1.23,-0.35,41.67,28.39,-0.03,1.01
 2006/01/16,28.1,27.6,28.36,27.43,28.36,28.69,22.82,38.28,53.03,8.8,-0.31,99.24,-0.27,-1.39,-0.39,41.67,28.4,-2.53,1.02
 2006/01/17,27.55,27.5,27.75,27.32,28.03,28.66,23.06,28.13,44.73,-5.06,-0.4,91.96,-0.37,-0.72,-0.2,41.67,28.41,-2.7,1.01
 2006/01/18,27.53,27.6,28.2,27.4,27.89,28.47,26.12,22.88,37.45,-6.24,-0.43,92.25,-0.27,-2.27,-0.64,41.67,28.37,-2.55,1.02
 2006/01/19,27.68,28.25,28.36,27.2,27.82,28.35,25.36,30.61,35.17,21.49,-0.35,92.52,-0.2,1.69,0.47,50,28.38,-0.52,1.05
 2006/01/20,28.3,27.71,28.3,27.64,27.73,28.21,15,28.9,33.08,20.56,-0.36,89.21,-0.22,-6.04,-1.78,41.67,28.35,-2.52,0.94
 2006/01/23,28.4,28.63,29.08,28.1,27.94,28.15,20.79,43.71,36.62,57.89,-0.23,98.7,0.05,-2.95,-0.87,41.67,28.37,-0.81,0.94
 2006/01/24,28.63,30.82,31.48,28.49,28.6,28.32,25.56,57.34,43.53,84.95,0.13,127.21,0.2,5.95,1.73,50,28.49,5.84,1.01
 2006/01/25,30.83,32,32.48,30.82,29.48,28.69,30.83,68.53,51.86,101.86,0.5,143.99,0.64,9.55,2.79,50,28.67,11.66,1.07
 2006/02/06,31.9,31.99,32.3,31.05,30.23,29.03,29.89,75.92,59.88,108.01,0.7,129.97,0.65,9.67,2.82,50,28.87,10.65,1.11
 2006/02/07,32,31.37,32,31.29,30.96,29.35,30.52,76.94,65.57,99.69,0.7,126.98,0.69,10.89,3.08,50,29.05,7.8,1.08
 2006/02/08,31.3,30.33,31.7,29.95,31.3,29.62,28.25,71.05,67.4,78.37,0.52,114.24,0.4,6.12,1.75,41.67,29.15,4.82,1.17
 2006/02/09,30.15,29.64,30.2,28.86,31.07,29.83,27.41,62.77,65.86,56.61,0.28,99.19,0.22,5.22,1.47,41.67,29.25,1.33,1.21
 2006/02/10,29.5,30.22,30.26,29.38,30.71,30.1,28.17,59.62,63.78,51.3,0.18,101.23,0.45,9.49,2.62,50,29.28,5.04,1.19
 2006/02/13,30.22,29.75,30.6,29.38,30.26,30.25,29.11,52.3,59.95,37,0.04,98.55,0.53,8.18,2.25,50,29.3,4.87,1.23
 2006/02/14,29.78,29.69,30.7,29.55,29.93,30.44,29.31,44.89,54.93,24.82,-0.07,108.26,0.73,7.57,2.09,41.67,29.33,0.72,1.25
 2006/02/15,29.6,29.98,30.3,29.6,29.86,30.58,28.87,40.24,50.04,20.65,-0.11,115.1,0.81,6.12,1.73,41.67,29.36,6.99,1.27
 2006/02/16,30.12,29.89,30.29,29.56,29.91,30.49,26.44,36.81,45.63,19.17,-0.16,98.83,0.73,7.87,2.18,41.67,29.4,0.02,1.26
 2006/02/17,29.8,29.31,29.83,29.02,29.72,30.22,26.88,29.32,40.19,7.57,-0.26,101.05,0.61,2.38,0.68,33.33,29.45,-2.11,1.24
 2006/02/20,29.3,29.32,29.5,29.03,29.64,29.95,27.18,24.94,35.11,4.61,-0.32,86.49,0.51,-4.87,-1.5,33.33,29.49,2,1.23
 2006/02/21,29.18,30.17,30.2,28.7,29.73,29.83,26.51,41.13,37.11,49.16,-0.24,92.23,0.45,-5.72,-1.83,33.33,29.59,6.23,1.24
 2006/02/22,30.22,29.84,30.3,29.56,29.71,29.78,15.23,46.42,40.22,58.83,-0.23,93.16,0.07,-6.72,-2.15,33.33,29.7,2.75,1.08
 2006/02/23,29.84,29.47,29.98,28.98,29.62,29.76,9,43.78,41.4,48.53,-0.27,90.03,-0.57,-6.06,-1.9,33.33,29.8,4.14,1.03
 2006/02/24,29.39,29.71,30.03,29.39,29.7,29.71,9.76,46.02,42.94,52.17,-0.25,96.88,-0.53,-2.04,-0.62,41.67,29.9,4.73,0.99
 2006/02/27,29.8,28.97,29.88,28.89,29.63,29.64,9.57,36.3,40.73,27.45,-0.33,99.14,-0.62,-2.26,-0.67,41.67,29.94,3.9,1.01
 2006/02/28,28.9,28.8,28.9,28.42,29.36,29.55,10.46,30.94,37.47,17.89,-0.4,95.9,-0.45,-4.7,-1.42,33.33,29.99,5.08,0.92
 2006/03/01,29.1,28.94,29.2,28.4,29.18,29.44,13.48,30.1,35.01,20.28,-0.4,100,-0.15,-2.72,-0.81,41.67,30.01,4.6,0.87
 2006/03/02,28.99,28.61,28.99,28.5,29.01,29.31,13.42,23.75,31.26,8.74,-0.43,101.19,-0.25,-3.64,-1.08,41.67,29.9,1.97,0.85
 2006/03/03,28.61,28.64,28.84,28.1,28.79,29.25,10.99,24.02,28.84,14.36,-0.42,100.07,-0.42,-4.47,-1.34,41.67,29.73,-0.9,0.81
 2006/03/06,28.75,29.25,29.6,28.52,28.85,29.24,16.9,33.43,30.37,39.56,-0.32,101.83,-0.27,-2.14,-0.64,50,29.59,3.61,0.81
 2006/03/07,29.25,28.27,29.25,28.25,28.74,29.05,16.47,25.23,28.66,18.36,-0.37,92.22,-0.37,-3.55,-1.04,50,29.44,-1.12,0.83
 2006/03/08,28.01,27.7,28.09,27.5,28.49,28.84,16.41,19.45,25.59,7.18,-0.46,90.85,-0.54,-5.53,-1.62,41.67,29.31,-11.4,0.83
 2006/03/09,27.7,27.65,27.97,27.12,28.3,28.65,16.44,19.37,23.52,11.08,-0.49,80,-0.5,-8.35,-2.52,33.33,29.21,-16.5,0.83
 2006/03/10,27.55,27.52,27.61,27.28,28.08,28.43,16.58,18.29,21.77,11.32,-0.5,60.08,-0.48,-7.77,-2.32,33.33,29.07,-17.07,0.82
 2006/03/13,27.51,28.03,28.25,27.5,27.83,28.34,17.18,24.42,22.66,27.96,-0.42,53.9,-0.37,-4.89,-1.44,41.67,28.99,-9.99,0.77
 2006/03/14,28.32,28.02,28.76,27.89,27.78,28.26,20.73,28.38,24.56,36.01,-0.34,59.9,-0.34,-5.69,-1.69,33.33,28.9,-8.26,0.78
 2006/03/15,27.9,28.05,28.3,27.65,27.85,28.17,21.42,31.42,26.85,40.56,-0.27,63.22,-0.24,-3.18,-0.92,41.67,28.81,-4.54,0.75
 2006/03/16,28.1,27.66,28.11,27.49,27.86,28.08,20.99,28.2,27.3,30.01,-0.25,65.28,-0.32,-3.96,-1.14,41.67,28.7,-9.8,0.75
 2006/03/17,27.66,28.75,28.88,27.59,28.1,28.09,27.52,44.31,32.97,66.99,-0.08,83.29,-0.14,-0.66,-0.19,41.67,28.67,-3.04,0.77
 2006/03/20,28.98,29,29.14,28.7,28.3,28.07,30.22,60.56,42.17,97.35,0.06,82.82,0.06,1.36,0.39,50,28.65,-2.53,0.77
 2006/03/21,29,28.82,29.2,28.7,28.46,28.12,28.79,67.62,50.65,101.55,0.13,85.23,0.04,0.63,0.18,41.67,28.58,-6.72,0.74
 2006/03/22,28.82,28.54,28.84,28.3,28.55,28.2,28.65,66.95,56.09,88.69,0.14,74.69,-0.02,-2.43,-0.71,33.33,28.52,-7.05,0.75
 2006/03/23,28.4,29.05,29.1,28.2,28.83,28.34,30.67,75.05,62.41,100.32,0.21,72.66,0.09,2.76,0.78,41.67,28.5,-2.99,0.76
 2006/03/24,29,29.29,29.8,28.92,28.94,28.52,30.68,76,66.94,94.14,0.27,78.38,0.02,5.74,1.59,50,28.48,-0.92,0.74
 2006/03/27,29.2,29.35,29.7,28.75,29.01,28.65,30.83,77.51,70.46,91.6,0.31,84.43,0.07,6.15,1.7,58.33,28.5,-5.23,0.74
 2006/03/28,29.35,29.4,29.9,29.35,29.13,28.79,33.46,78.09,73.01,88.26,0.33,89.97,0.31,6.83,1.88,66.67,28.53,-2.65,0.73
 2006/03/29,29.29,29.67,29.97,28.9,29.35,28.95,32.76,81.19,75.73,92.11,0.35,88.08,0.36,5.85,1.64,66.67,28.56,0.83,0.74
 2006/03/30,29.75,30.11,30.58,29.35,29.56,29.2,35.68,80.88,77.45,87.74,0.41,98.07,0.49,7.46,2.09,75,28.64,1.24,0.8
 2006/03/31,30.2,30.63,31.07,29.9,29.83,29.39,33.1,82.14,79.01,88.4,0.49,113.08,0.49,9.2,2.58,75,28.74,6.07,0.83
 2006/04/03,30.61,31.91,32.1,30.44,30.34,29.68,35.18,86.47,81.5,96.41,0.68,121.08,0.61,15.37,4.25,83.33,28.87,12.26,0.89
 2006/04/04,31.88,31.36,31.88,30.88,30.74,29.93,34.14,84.66,82.55,88.86,0.69,116.85,0.71,9.08,2.61,75,29.03,10.36,0.92
 2006/04/05,31.1,31.9,32.55,30.88,31.18,30.27,36.38,84.07,83.06,86.09,0.72,129.62,0.88,10,2.9,75,29.24,14.95,0.99
 2006/04/06,31.9,32.75,33.3,31.8,31.71,30.64,35.7,85.35,83.82,88.41,0.81,144,0.97,13.64,3.93,83.33,29.49,18.93,1.01
 2006/04/07,32.58,31.48,32.69,30.82,31.88,30.86,30.62,76.45,81.36,66.61,0.65,124.3,0.73,10.3,2.94,83.33,29.69,10.76,1.11
 2006/04/10,31.3,30.53,31.3,29.92,31.6,30.97,28.31,63.31,75.35,39.24,0.39,111.72,0.54,5.09,1.48,75,29.81,8.02,1.19
 2006/04/11,30.53,30.29,30.6,29.62,31.39,31.06,27.58,50.14,66.94,16.53,0.16,98.08,0.54,3.41,1,66.67,29.93,7.76,1.22
 2006/04/12,30.12,30.02,30.5,29.89,31.01,31.1,26.5,37.05,56.98,-2.81,-0.03,104.52,0.52,2.28,0.67,58.33,30.03,7,1.2
 2006/04/13,29.98,29.93,30.39,29.71,30.45,31.08,22.6,27.51,47.16,-11.79,-0.17,111.65,0.38,1.8,0.53,50,30.14,6.68,1.18
 2006/04/14,30.11,30.2,30.45,29.92,30.19,31.04,23.56,23.59,39.3,-7.83,-0.23,119.45,0.47,1.79,0.53,50,30.21,5.97,1.15
 2006/04/17,29.8,27.96,29.8,27.8,29.68,30.64,20.03,16.7,31.77,-13.44,-0.55,101.34,0.23,-7.14,-2.15,41.67,30.16,-16.97,1.29
 2006/04/18,27.08,26.88,27.16,26.18,29,30.19,19.27,14.41,25.98,-8.73,-0.86,84.75,0.03,-12.24,-3.75,33.33,30.06,-21.32,1.34
 2006/04/19,26.89,26.31,27.14,26.25,28.26,29.64,16.31,10.27,20.74,-10.67,-1.1,79.09,-0.07,-17.55,-5.6,25,29.95,-26.29,1.31
 2006/04/20,26.31,27.07,27.1,25.15,27.68,29.07,13.09,17.25,19.58,12.6,-1.09,78.39,-0.38,-13.68,-4.29,33.33,29.85,-25.6,1.37
 2006/04/21,26.99,26.3,26.99,25.9,26.9,28.55,7.92,18.54,19.23,17.14,-1.13,75.23,-0.53,-17.55,-5.6,25,29.7,-32.14,1.33
 2006/04/24,26.05,24.31,26.15,24.25,26.17,27.93,7.51,12.68,17.05,3.94,-1.35,60.99,-0.99,-25.77,-8.44,16.67,29.45,-43.18,1.41
 2006/04/25,24,24.91,25.49,23.87,25.78,27.39,4.12,13.72,15.94,9.28,-1.33,63.83,-1.34,-20.87,-6.57,25,29.23,-35.96,1.4
