      date,  open,    close,    high,    low,   MA5   ,   MA10   ,  DMI.PDI   , MACD.MACD  , BRAR.BR    ,  EMV.EMV   ,  KDJ.K     ,  KDJ.D     ,  KDJ.J     ,  ROC.ROC   ,  MTM.MTM   , BOLL.BOLL  ,  PSY.PSY   ,  ATR.ATR   , WVAD.WVAD  
 2004/04/21,10.67,10.24,10.67,10,10.78,11.02,5.56,-0.48,77.15,-3.92,11.83,12.56,10.37,-36.2,-5.81,12.96,25,0.73,-12.15
 2004/04/22,10.24,10.42,10.53,10.24,10.69,10.87,5.7,-0.39,81.57,-3.81,15.89,13.67,20.32,-14.52,-1.77,12.73,33.33,0.71,-11.52
 2004/04/23,10.45,10.13,10.46,10.08,10.47,10.72,3.69,-0.34,81.03,-4.06,13.98,13.77,14.39,-14.44,-1.71,12.48,33.33,0.72,-12.83
 2004/04/26,10.1,10.15,10.3,10.02,10.32,10.63,5.83,-0.26,79.75,-2.09,13.22,13.59,12.5,-14.78,-1.76,12.19,33.33,0.45,-13.36
 2004/04/27,10.18,10.3,10.37,10.15,10.25,10.57,7.26,-0.16,79.3,-1.71,16.63,14.6,20.68,-11.97,-1.4,11.93,41.67,0.43,-12.61
 2004/04/28,10.3,10.38,10.48,10.17,10.28,10.53,9.35,-0.06,77.49,-1.41,20.98,16.73,29.49,-5.81,-0.64,11.65,50,0.42,-14.5
 2004/04/29,10.5,10.1,10.5,10.08,10.21,10.45,7.96,-0.02,77.85,-1.57,16.63,16.7,16.51,-7.34,-0.8,11.38,50,0.41,-16.22
 2004/04/30,10.11,10.13,10.3,9.98,10.21,10.34,8.6,0.04,70.14,-1.43,15.85,16.41,14.72,-6.03,-0.65,11.1,58.33,0.38,-21.2
 2004/05/10,10.17,9.63,10.18,9.6,10.11,10.22,8.2,0.03,64.79,-1.59,11.5,14.78,4.95,-11.33,-1.23,10.77,50,0.4,-19.13
 2004/05/11,9.63,9.48,9.69,9.33,9.94,10.1,8.29,0.02,55.72,-1.72,11.83,13.8,7.91,-15.81,-1.78,10.64,41.67,0.4,-11.48
 2004/05/12,9.56,9.8,9.82,9.5,9.83,10.05,7.34,0.07,58.92,-1.83,21.28,16.29,31.26,-9.93,-1.08,10.54,50,0.39,-7.72
 2004/05/13,9.78,9.69,9.78,9.61,9.75,9.98,5.94,0.1,44.23,-1.89,24.44,19.01,35.31,-9.18,-0.98,10.43,50,0.37,-9.32
 2004/05/14,9.73,9.46,9.73,9.4,9.61,9.91,6.03,0.11,44.73,-2,20,19.34,21.32,-7.62,-0.78,10.31,50,0.37,-11.08
 2004/05/17,9.4,9.4,9.54,9.21,9.57,9.84,6.18,0.12,40.18,-1.97,18.24,18.97,16.78,-9.79,-1.02,10.23,41.67,0.36,-9.31
 2004/05/18,9.48,9.8,9.98,9.48,9.63,9.79,15.21,0.19,42.66,-1.13,27.41,21.78,38.65,-3.26,-0.33,10.18,50,0.35,-7.19
 2004/05/19,9.83,9.88,10.08,9.8,9.65,9.74,17.28,0.25,75.08,-1.11,38.76,27.44,61.4,-2.66,-0.27,10.13,50,0.35,-7.31
 2004/05/20,9.9,9.7,9.91,9.65,9.65,9.7,17.71,0.27,76.19,-1.08,42.68,32.52,62.99,-5.83,-0.6,10.07,41.67,0.34,-7.13
 2004/05/24,9.78,9.77,9.88,9.7,9.71,9.66,18.09,0.29,78.19,-0.88,49.91,38.32,73.09,-5.88,-0.61,10,41.67,0.34,-2.06
 2004/05/25,9.73,9.69,9.83,9.68,9.77,9.67,16.85,0.29,76.64,-0.98,51.66,42.77,69.46,-4.06,-0.41,9.94,41.67,0.33,-1.82
 2004/05/26,9.6,9.99,10.08,9.6,9.81,9.72,19.17,0.34,93.22,-1,64.33,49.95,93.08,-1.38,-0.14,9.91,41.67,0.34,-0.9
 2004/05/27,10,10.4,10.55,9.9,9.91,9.78,27.63,0.41,103.34,-0.76,72.49,57.46,102.53,8,0.77,9.91,50,0.36,-0.11
 2004/05/28,10.45,10.69,10.9,10.45,10.11,9.88,33.4,0.49,119.69,-0.51,77.52,64.15,104.25,12.76,1.21,9.93,58.33,0.37,-0.43
