date,open,close,high,low,MA5,MA10,  DMI.PDI   ,  KDJ.K     ,  KDJ.K     ,  KDJ.K     ,MACD,BRAR,EMV,ROC,MTM,PSY,BOLL,WVAD,ATR
 2005/09/21,6.14,6.03,6.18,6.02,6.21,6.26,18.96,29.03,46.85,-6.59,-0.03,100,-0.32,-4.44,-0.28,41.67,6.22,0.9,0.15
 2005/09/22,6.02,5.9,6.04,5.83,6.13,6.21,14.15,23.45,39.05,-7.74,-0.06,96.79,-0.66,-4.07,-0.25,41.67,6.21,-2.84,0.15
 2005/09/23,5.9,5.85,5.95,5.83,6.04,6.17,14.15,16.8,31.63,-12.86,-0.09,100,-0.68,-5.8,-0.36,33.33,6.2,-6.6,0.15
 2005/09/26,5.85,5.94,5.95,5.81,5.97,6.14,14.63,18.55,27.27,1.1,-0.09,103.03,-0.67,-6.01,-0.38,33.33,6.19,-2.12,0.15
 2005/09/27,5.99,5.76,5.99,5.75,5.9,6.09,13.95,12.89,22.48,-6.3,-0.1,92.09,-0.63,-7.84,-0.49,33.33,6.17,-9.65,0.15
 2005/10/21,6.28,6.34,6.34,6.04,5.96,6.08,18.8,40.31,28.42,64.09,-0.04,128.79,-0.4,1.6,0.1,41.67,6.18,-5.12,0.18
 2005/10/24,6.57,6.25,6.58,6.23,6.03,6.08,26.32,46.95,34.6,71.67,0,130.43,-0.3,-1.26,-0.08,33.33,6.18,-46.5,0.19
 2005/10/25,6.22,6.08,6.3,6.01,6.07,6.06,24.65,44.56,37.92,57.83,0,122.07,-0.47,-4.7,-0.3,25,6.17,-50.88,0.2
 2005/10/26,6.1,5.92,6.15,5.85,6.07,6.02,21.81,36.53,37.46,34.68,-0.02,107.02,-0.75,-5.73,-0.36,25,6.15,-57.7,0.21
 2005/10/27,5.92,5.83,5.96,5.78,6.08,5.99,19.28,27.57,34.16,14.38,-0.04,103.25,-0.96,-7.46,-0.47,16.67,6.13,-68.32,0.22
 2005/10/28,5.82,5.58,5.87,5.51,5.93,5.95,17.93,20.56,29.63,2.42,-0.08,87.77,-1.37,-11.15,-0.7,16.67,6.1,-79.9,0.23
 2005/10/31,5.58,5.71,5.78,5.58,5.82,5.93,17.46,19.94,26.4,7.02,-0.09,93.36,-1.37,-7,-0.43,25,6.07,-69.34,0.24
 2005/11/01,5.69,5.7,5.74,5.6,5.75,5.91,17.25,19.21,24,9.63,-0.09,88.45,-1.34,-5.47,-0.33,25,6.04,-71.62,0.24
 2005/11/02,5.69,5.76,5.79,5.66,5.72,5.89,18.82,20.59,22.87,16.05,-0.07,86.59,-1.17,-2.37,-0.14,33.33,6.02,-61.48,0.24
 2005/11/03,5.77,5.67,5.78,5.61,5.68,5.88,18.77,18.71,21.48,13.18,-0.07,82.46,-1.1,-3.08,-0.18,33.33,5.99,-68.21,0.24
 2005/11/04,5.65,5.7,5.71,5.6,5.71,5.82,19.34,20.49,21.15,19.17,-0.06,86.13,-0.91,-4.04,-0.24,33.33,5.95,-75.4,0.24
 2005/11/07,5.72,5.72,5.73,5.63,5.71,5.77,20.06,24.6,22.3,29.2,-0.04,84,-0.78,-0.69,-0.04,41.67,5.92,-72.27,0.23
 2005/11/08,5.72,5.76,5.78,5.65,5.72,5.74,21.65,34.92,26.51,51.74,-0.03,77.78,-0.67,-9.15,-0.58,41.67,5.9,-70.36,0.23
 2005/11/09,5.76,5.71,5.78,5.66,5.71,5.71,22.47,41.8,31.6,62.18,-0.02,74.64,-0.63,-8.64,-0.54,41.67,5.87,-76.09,0.23
 2005/11/10,5.7,5.55,5.7,5.53,5.69,5.69,13.04,30.43,31.21,28.86,-0.03,70.45,-1.2,-8.72,-0.53,41.67,5.84,-88.01,0.2
 2005/11/11,5.55,5.54,5.6,5.51,5.66,5.68,4.8,23.86,28.76,14.05,-0.03,69.2,-1.44,-6.42,-0.38,41.67,5.81,-81.94,0.18
 2005/11/14,5.54,5.6,5.66,5.54,5.63,5.67,7.73,26.62,28.05,23.76,-0.03,71.68,-1,-3.95,-0.23,50,5.8,-81.76,0.17
 2005/11/15,5.61,5.61,5.67,5.58,5.6,5.66,8.96,30.09,28.73,32.82,-0.02,76.45,-0.72,0.54,0.03,58.33,5.79,-80.37,0.15
 2005/11/16,5.59,5.66,5.66,5.57,5.59,5.65,9.36,38.58,32.01,51.71,0,74.46,-0.57,-0.88,-0.05,58.33,5.77,-68.73,0.14
 2005/11/17,5.68,5.68,5.7,5.63,5.62,5.65,13.22,46.71,36.91,66.3,0.01,76.56,-0.09,-0.35,-0.02,66.67,5.77,-62.98,0.12
 2005/11/18,5.7,5.78,5.81,5.64,5.67,5.66,19.88,61.14,44.99,93.44,0.04,84.73,-0.03,0.35,0.02,66.67,5.74,-54.06,0.12
